,0,1,2,3,4,5,6,7,8
0,3.0,0.0,0.0,1.0,28.7,32.575,61.0,15.0013,97.0
1,3.0,0.0,1.0,1.0,33.62,38.635,52.0,16.9979,90.0
2,2.0,0.0,1.0,1.0,12.3,14.395,65.0,16.9979,2.0
3,2.0,0.0,0.0,1.0,29.52,34.09,62.0,8.9981,94.0
4,1.0,0.0,1.0,1.0,10.66,12.88,60.0,15.0013,0.0
5,4.0,0.0,1.0,2.0,26.24,28.79,89.0,6.0032,12.0
6,3.0,0.0,0.0,2.0,26.24,28.79,83.0,12.998,11.0
7,4.0,0.0,1.0,2.0,21.32,25.0,94.0,6.0032,2.0
8,1.0,0.0,1.0,2.0,8.2,10.605,86.0,8.9981,7.0
9,2.0,0.0,1.0,2.0,25.42,31.06,57.0,19.9995,48.0
10,1.0,0.0,1.0,1.0,17.22,21.21,41.0,12.998,14.0
11,2.0,0.0,1.0,1.0,27.88,31.06,26.0,19.0012,53.0
12,3.0,0.0,0.0,1.0,18.86,22.725,72.0,15.0013,15.0
13,3.0,0.0,1.0,1.0,28.7,33.335,74.0,19.0012,65.0
14,2.0,0.0,1.0,1.0,28.7,32.575,65.0,16.9979,49.0
15,4.0,0.0,1.0,1.0,11.48,15.15,75.0,6.0032,11.0
16,2.0,0.0,1.0,1.0,21.32,25.0,27.0,19.0012,112.0
17,4.0,0.0,0.0,2.0,10.66,12.88,56.0,15.0013,0.0
18,4.0,1.0,0.0,2.0,16.4,20.455,76.0,15.0013,17.0
19,4.0,0.0,1.0,3.0,22.96,26.515,64.0,7.0015,42.0
20,4.0,0.0,1.0,1.0,19.68,23.485,77.0,11.0014,4.0
21,3.0,0.0,0.0,1.0,36.08,39.395,37.0,12.998,51.0
22,2.0,0.0,1.0,1.0,22.96,26.515,26.0,7.0015,98.0
23,4.0,0.0,1.0,2.0,21.32,25.0,88.0,8.9981,0.0
24,3.0,0.0,1.0,1.0,26.24,29.545,78.0,6.0032,0.0
25,4.0,0.0,0.0,1.0,21.32,25.0,27.0,22.0028,35.0
26,3.0,0.0,1.0,1.0,29.52,34.09,70.0,11.0014,9.0
27,4.0,0.0,0.0,1.0,24.6,31.06,35.0,19.9995,169.0
28,3.0,0.0,0.0,1.0,31.98,37.12,62.0,15.0013,138.0
29,4.0,0.0,1.0,2.0,12.3,15.15,61.0,11.0014,5.0
30,2.0,0.0,1.0,2.0,20.5,24.24,88.0,12.998,18.0
31,2.0,0.0,1.0,2.0,22.14,25.76,77.0,11.0014,1.0
32,2.0,0.0,0.0,2.0,20.5,24.24,63.0,11.0014,123.0
33,1.0,0.0,1.0,1.0,12.3,13.635,56.0,22.0028,3.0
34,2.0,0.0,1.0,2.0,28.7,32.575,58.0,15.0013,8.0
35,1.0,0.0,0.0,1.0,14.76,18.18,50.0,7.0015,2.0
36,1.0,0.0,0.0,1.0,21.32,25.0,27.0,19.9995,199.0
37,2.0,0.0,1.0,2.0,14.76,16.665,46.0,26.0027,35.0
38,2.0,0.0,0.0,1.0,22.96,26.515,60.0,11.0014,21.0
39,3.0,0.0,1.0,2.0,31.16,34.09,45.0,15.0013,66.0
40,3.0,0.0,1.0,1.0,33.62,35.605,28.0,19.9995,70.0
41,2.0,0.0,1.0,3.0,18.86,22.725,94.0,19.9995,0.0
42,4.0,0.0,1.0,2.0,20.5,24.24,55.0,11.0014,10.0
43,4.0,0.0,1.0,2.0,18.86,22.725,94.0,7.0015,14.0
44,2.0,0.0,1.0,1.0,27.06,30.305,78.0,11.0014,0.0
45,3.0,0.0,1.0,1.0,28.7,33.335,79.0,0.0,70.0
46,2.0,0.0,1.0,1.0,14.76,16.665,57.0,23.9994,16.0
47,2.0,0.0,0.0,1.0,25.42,30.305,17.0,23.9994,260.0
48,1.0,0.0,1.0,2.0,8.2,9.85,37.0,16.9979,7.0
49,1.0,0.0,1.0,1.0,16.4,20.455,35.0,12.998,13.0
50,3.0,0.0,0.0,2.0,27.06,30.305,78.0,7.0015,69.0
51,1.0,1.0,0.0,1.0,9.84,11.365,35.0,16.9979,2.0
52,2.0,0.0,1.0,2.0,22.14,25.76,73.0,22.0028,1.0
53,4.0,0.0,1.0,1.0,22.14,25.76,49.0,0.0,30.0
54,1.0,0.0,0.0,2.0,20.5,24.24,77.0,6.0032,218.0
55,3.0,0.0,0.0,3.0,26.24,28.79,89.0,15.0013,16.0
56,3.0,0.0,1.0,3.0,24.6,25.76,94.0,31.0009,27.0
57,4.0,0.0,0.0,2.0,14.76,18.94,100.0,0.0,34.0
58,1.0,0.0,1.0,1.0,8.2,9.09,40.0,23.9994,2.0
59,4.0,0.0,0.0,3.0,16.4,20.455,71.0,8.9981,16.0
60,3.0,0.0,1.0,1.0,30.34,33.335,51.0,11.0014,103.0
61,3.0,0.0,0.0,2.0,28.7,32.575,51.0,7.0015,13.0
62,1.0,0.0,1.0,1.0,7.38,9.09,55.0,15.0013,0.0
63,1.0,0.0,1.0,1.0,9.84,12.12,48.0,8.9981,3.0
