,0
0,257
1,865
2,96
3,311
4,2
5,391
6,38
7,11
8,225
9,218
10,177
11,391
12,44
13,366
14,243
15,134
16,358
17,20
18,151
19,613
20,11
21,201
22,558
23,5
24,16
25,190
26,13
27,438
28,349
29,367
30,233
31,26
32,332
33,22
34,80
35,38
36,498
37,182
38,88
39,280
40,559
41,5
42,309
43,80
44,4
45,488
46,287
47,486
48,79
49,171
50,162
51,53
52,4
53,197
54,521
55,73
56,143
57,209
58,69
59,86
60,488
61,118
62,39
63,6
64,225
65,524
66,197
67,82
68,425
69,343
70,16
71,418
72,65
73,138
74,265
75,403
76,232
77,421
78,244
79,186
80,9
81,173
82,341
83,6
84,306
85,16
86,109
87,386
88,157
89,25
90,143
91,425
92,4
93,325
94,151
95,411
96,446
97,71
98,401
99,813
100,191
101,181
102,347
103,69
104,365
105,266
106,227
107,221
108,34
109,331
110,5
111,76
112,645
113,635
114,168
115,89
116,11
117,97
118,191
119,212
120,12
121,238
122,52
123,30
124,427
125,161
126,307
127,328
128,404
129,8
130,428
131,445
132,90
133,208
134,492
135,106
136,766
137,12
138,220
139,126
140,274
141,1
142,255
143,312
144,123
145,139
146,330
147,1
148,128
149,501
150,56
151,8
152,4
153,27
154,55
155,249
156,136
157,74
158,398
159,191
160,730
161,643
162,52
163,116
164,300
165,77
166,248
167,359
168,46
169,12
170,178
171,432
172,75
173,70
174,270
175,195
176,123
177,110
178,118
179,6
180,218
181,31
182,173
183,82
184,17
185,26
186,2
187,7
188,33
189,5
190,314
191,141
192,136
193,4
194,19
195,264
196,129
197,127
198,306
199,60
200,381
201,53
202,97
203,232
204,198
205,224
206,45
207,2
208,781
209,259
210,48
211,214
212,5
213,27
214,3
215,222
216,684
217,386
218,367
219,537
220,449
221,23
222,24
223,306
224,323
225,251
226,75
227,316
228,172
229,404
230,227
231,111
232,120
233,167
234,205
235,3
236,10
237,81
238,11
239,353
240,147
241,298
242,435
243,5
244,7
245,132
246,120
247,334
248,34
249,24
250,4
251,427
252,13
253,144
254,123
255,75
256,276
257,58
258,117
259,240
260,283
261,33
262,62
263,263
264,410
265,213
266,206
267,466
268,260
269,432
270,35
271,283
272,713
273,2
274,102
275,197
276,328
277,171
278,21
279,135
280,125
281,170
282,22
283,231
284,139
285,267
286,693
287,274
288,14
289,12
290,157
291,6
292,167
293,14
294,26
295,36
296,31
297,495
298,263
299,111
300,214
301,6
302,329
303,9
304,497
305,334
306,188
307,13
308,15
309,287
310,242
311,126
312,10
313,347
314,538
315,192
316,27
317,12
318,118
319,441
320,170
321,185
322,169
323,10
324,106
325,193
326,140
327,153
328,88
329,178
330,326
331,61
332,494
333,32
334,99
335,651
336,45
337,199
338,9
339,472
340,159
341,37
342,190
343,7
344,1
345,539
346,457
347,189
348,28
349,4
350,171
351,337
352,205
353,245
354,20
355,38
356,365
357,141
358,248
359,170
360,224
361,173
362,79
363,42
364,392
365,32
366,112
367,117
368,73
369,19
370,184
371,493
372,159
373,6
374,398
375,223
376,563
377,110
378,43
379,128
380,31
381,364
382,55
383,139
384,148
385,530
386,38
387,187
388,46
389,62
390,88
391,646
392,82
393,124
394,72
395,43
396,17
397,3
398,488
399,28
400,32
401,275
402,2
403,75
404,79
405,29
406,262
407,34
408,181
409,27
410,182
411,295
412,308
413,70
414,565
415,226
416,221
417,154
418,551
419,39
420,153
421,279
422,77
423,175
424,390
425,6
426,235
427,155
428,595
429,192
430,210
431,17
432,28
433,17
434,552
435,168
436,193
437,238
438,126
439,69
440,215
441,105
442,348
443,10
444,8
445,91
446,690
447,564
448,36
449,13
450,6
451,20
452,170
453,7
454,153
455,32
456,313
457,189
458,16
459,138
460,153
461,42
462,245
463,35
464,107
465,148
466,201
467,9
468,17
469,4
470,15
471,250
472,109
473,4
474,3
475,390
476,5
477,578
478,230
479,43
480,46
481,255
482,11
483,129
484,25
485,8
486,335
487,113
488,119
489,7
490,5
491,83
492,846
493,164
494,143
495,106
496,3
497,17
498,464
499,290
500,378
501,93
502,504
503,9
504,81
505,271
506,312
507,394
508,106
509,420
510,218
511,355
512,3
513,583
514,18
515,73
516,254
517,78
518,284
519,309
520,207
521,537
522,5
523,460
524,497
525,368
526,318
527,121
528,316
529,238
530,198
531,254
532,23
533,52
534,139
535,269
536,67
537,211
538,225
539,122
540,292
541,421
542,310
543,30
544,229
545,89
546,553
547,414
548,43
549,130
550,93
551,200
552,178
553,196
554,63
555,463
556,222
557,4
558,594
559,131
560,235
561,17
562,160
563,2
564,7
565,6
566,260
567,679
568,466
569,357
570,8
571,89
572,37
573,136
574,71
575,65
576,25
577,218
578,21
579,59
580,180
581,123
582,11
583,342
584,58
585,98
586,18
587,315
588,171
589,135
590,248
591,102
592,202
593,190
594,97
595,315
596,5
597,313
598,143
599,444
600,2
601,152
602,36
603,373
604,23
605,83
606,93
607,75
608,140
609,506
610,72
611,19
612,430
613,165
614,225
615,69
616,16
617,26
618,21
619,45
620,168
621,257
622,155
623,492
624,332
625,144
626,33
627,112
628,757
629,172
630,167
631,343
632,44
633,508
634,259
635,229
636,273
637,8
638,204
639,856
640,350
641,105
642,607
643,176
644,170
645,24
646,336
647,146
648,6
649,40
650,262
651,365
652,14
653,242
654,7
655,304
656,267
657,164
658,428
659,233
660,392
661,124
662,158
663,396
664,119
665,370
666,60
667,48
668,58
669,153
670,165
671,168
672,652
673,458
674,67
675,14
676,245
677,134
678,176
679,32
680,186
681,69
682,96
683,245
684,340
685,74
686,232
687,126
688,238
689,30
690,392
691,5
692,20
693,494
694,160
695,363
696,5
697,19
698,632
699,313
700,136
701,514
702,322
703,635
704,336
705,268
706,47
707,153
708,247
709,139
710,106
711,2
712,182
713,457
714,152
715,285
716,233
717,476
718,192
719,58
720,24
721,384
722,7
723,43
724,40
725,433
726,3
727,241
728,344
729,256
730,286
731,170
732,226
733,3
734,50
735,4
736,11
737,312
738,16
739,93
740,156
741,305
742,76
743,585
744,112
745,23
746,180
747,27
748,409
749,40
750,252
751,123
752,1
753,468
754,170
755,44
756,195
757,212
758,108
759,28
760,4
761,78
762,95
763,23
764,185
765,92
766,85
767,2
768,614
769,41
770,480
771,6
772,399
773,20
774,1
775,52
776,87
777,89
778,147
779,318
780,57
781,151
782,256
783,219
784,36
785,153
786,259
787,84
788,47
789,26
790,344
791,493
792,459
793,337
794,454
795,69
796,334
797,55
798,86
799,164
800,363
801,193
802,180
803,838
804,225
805,460
806,64
807,292
808,295
809,132
810,502
811,461
812,17
813,331
814,127
815,265
816,2
817,27
818,22
819,28
820,25
821,238
822,274
823,57
824,723
825,279
826,80
827,87
828,366
829,114
830,16
831,183
832,261
833,701
834,99
835,159
836,166
837,26
838,627
839,389
840,48
841,96
842,181
843,668
844,1
845,161
846,151
847,144
848,90
849,115
850,304
851,133
852,140
853,325
854,232
855,15
856,367
857,15
858,184
859,29
860,110
861,155
862,291
863,95
864,356
865,202
866,483
867,57
868,25
869,417
870,103
871,286
872,331
873,290
874,421
875,231
876,380
877,36
878,7
879,229
880,298
881,250
882,470
883,232
884,178
885,449
886,520
887,506
888,567
889,216
890,39
891,100
892,182
893,7
894,169
895,179
896,388
897,155
898,228
899,377
900,27
901,156
902,228
903,265
904,441
905,363
906,11
907,129
908,126
909,54
910,385
911,6
912,327
913,25
914,126
915,8
916,35
917,221
918,35
919,95
920,314
921,370
922,100
923,2
924,205
925,209
926,26
927,95
928,4
929,472
930,172
931,3
932,36
933,36
934,201
935,15
936,166
937,651
938,238
939,20
940,7
941,84
942,17
943,145
944,182
945,212
946,8
947,429
948,459
949,387
950,4
951,98
952,7
953,365
954,4
955,414
956,71
957,240
958,566
959,4
960,349
961,327
962,294
963,483
964,18
965,737
966,22
967,443
968,23
969,44
970,229
971,3
972,130
973,798
974,132
975,82
976,268
977,167
978,53
979,16
980,54
981,331
982,239
983,176
984,395
985,354
986,14
987,12
988,217
989,47
990,1
991,28
992,12
993,485
994,123
995,343
996,7
997,384
998,53
999,85
1000,220
1001,8
1002,544
1003,306
1004,10
1005,94
1006,110
1007,118
1008,2
1009,232
1010,719
1011,94
1012,106
1013,125
1014,50
1015,159
1016,152
1017,230
1018,14
1019,694
1020,28
1021,63
1022,268
1023,128
1024,1
1025,368
1026,302
1027,4
1028,228
1029,122
1030,278
1031,516
1032,286
1033,247
1034,117
1035,161
1036,9
1037,155
1038,26
1039,362
1040,620
1041,122
1042,6
1043,62
1044,173
1045,108
1046,247
1047,28
1048,157
1049,724
1050,337
1051,10
1052,43
1053,54
1054,28
1055,70
1056,474
1057,130
1058,119
1059,412
1060,1
1061,135
1062,363
1063,397
1064,11
1065,312
1066,44
1067,256
1068,617
1069,145
1070,341
1071,91
1072,71
1073,35
1074,10
1075,95
1076,6
1077,35
1078,406
1079,354
1080,475
1081,204
1082,106
1083,5
1084,12
1085,74
1086,62
1087,172
1088,280
1089,832
1090,205
1091,54
1092,237
1093,147
1094,86
1095,224
1096,104
1097,528
1098,49
1099,391
1100,4
1101,82
1102,148
1103,545
1104,272
1105,139
1106,281
1107,59
1108,37
1109,123
1110,72
1111,73
1112,129
1113,162
1114,3
1115,7
1116,141
1117,110
1118,536
1119,46
1120,101
1121,263
1122,287
1123,176
1124,3
1125,380
1126,262
1127,159
1128,470
1129,11
1130,250
1131,89
1132,246
1133,18
1134,486
1135,82
1136,410
1137,499
1138,39
1139,29
1140,8
1141,132
1142,372
1143,163
1144,428
1145,95
1146,219
1147,165
1148,20
1149,167
1150,848
1151,139
1152,215
1153,51
1154,332
1155,482
1156,15
1157,385
1158,601
1159,447
1160,131
1161,127
1162,276
1163,220
1164,93
1165,421
1166,353
1167,435
1168,29
1169,162
1170,232
1171,63
1172,66
1173,47
1174,851
1175,578
1176,479
1177,39
1178,170
1179,40
1180,509
1181,109
1182,173
1183,140
1184,209
1185,346
1186,359
1187,12
1188,181
1189,677
1190,264
1191,205
1192,54
1193,8
1194,87
1195,108
1196,7
1197,265
1198,153
1199,2
1200,59
1201,404
1202,115
1203,6
1204,337
1205,251
1206,154
1207,205
1208,268
1209,702
1210,355
1211,569
1212,793
1213,47
1214,89
1215,289
1216,268
1217,9
1218,332
1219,18
1220,564
1221,97
1222,110
1223,410
1224,268
1225,165
1226,363
1227,15
1228,95
1229,260
1230,325
1231,147
1232,61
1233,207
1234,284
1235,559
1236,157
1237,64
1238,50
1239,371
1240,90
1241,149
1242,64
1243,66
1244,2
1245,473
1246,171
1247,72
1248,10
1249,5
1250,176
1251,165
1252,352
1253,30
1254,65
1255,7
1256,72
1257,2
1258,246
1259,5
1260,6
1261,3
1262,257
1263,104
1264,39
1265,204
1266,520
1267,120
1268,106
1269,300
1270,5
1271,152
1272,90
1273,150
1274,216
1275,48
1276,138
1277,579
1278,111
1279,300
1280,383
1281,135
1282,248
1283,135
1284,174
1285,119
1286,289
1287,259
1288,230
1289,282
1290,59
1291,328
1292,56
1293,130
1294,242
1295,209
1296,2
1297,584
1298,123
1299,333
1300,36
1301,373
1302,205
1303,457
1304,351
1305,104
1306,18
1307,88
1308,233
1309,128
1310,166
1311,12
1312,185
1313,24
1314,16
1315,560
1316,153
1317,782
1318,361
1319,383
1320,51
1321,304
1322,78
1323,106
1324,34
1325,204
1326,170
1327,279
1328,549
1329,88
1330,260
1331,287
1332,12
1333,310
1334,662
1335,43
1336,108
1337,13
1338,377
1339,183
1340,114
1341,198
1342,189
1343,125
1344,84
1345,2
1346,60
1347,24
1348,137
1349,326
1350,81
1351,56
1352,165
1353,2
1354,120
1355,504
1356,61
1357,87
1358,161
1359,71
1360,87
1361,16
1362,40
1363,206
1364,6
1365,353
1366,113
1367,64
1368,83
1369,585
1370,207
1371,207
1372,321
1373,337
1374,591
1375,235
1376,15
1377,28
1378,237
1379,110
1380,5
1381,23
1382,358
1383,188
1384,81
1385,366
1386,227
1387,411
1388,7
1389,138
1390,184
1391,812
1392,13
1393,381
1394,21
1395,23
1396,164
1397,620
1398,36
1399,5
1400,201
1401,509
1402,442
1403,877
1404,96
1405,311
1406,91
1407,82
1408,239
1409,141
1410,16
1411,638
1412,259
1413,81
1414,145
1415,113
1416,109
1417,468
1418,193
1419,77
1420,382
1421,43
1422,460
1423,304
1424,9
1425,414
1426,47
1427,22
1428,175
1429,388
1430,319
1431,11
1432,172
1433,315
1434,400
1435,278
1436,11
1437,153
1438,98
1439,40
1440,92
1441,187
1442,800
1443,79
1444,154
1445,111
1446,353
1447,10
1448,208
1449,48
1450,481
1451,184
1452,134
1453,486
1454,63
1455,411
1456,224
1457,546
1458,321
1459,22
1460,176
1461,353
1462,292
1463,131
1464,281
1465,82
1466,29
1467,19
1468,243
1469,20
1470,7
1471,283
1472,88
1473,5
1474,71
1475,466
1476,158
1477,166
1478,66
1479,119
1480,271
1481,44
1482,15
1483,106
1484,233
1485,37
1486,70
1487,2
1488,459
1489,222
1490,32
1491,146
1492,317
1493,184
1494,315
1495,128
1496,13
1497,5
1498,216
1499,327
1500,477
1501,292
1502,35
1503,334
1504,379
1505,3
1506,7
1507,87
1508,11
1509,194
1510,223
1511,43
1512,41
1513,7
1514,15
1515,48
1516,16
1517,94
1518,233
1519,108
1520,150
1521,31
1522,222
1523,388
1524,230
1525,11
1526,193
1527,42
1528,168
1529,24
1530,154
1531,139
1532,210
1533,175
1534,31
1535,95
1536,323
1537,11
1538,837
1539,5
1540,11
1541,21
1542,295
1543,93
1544,514
1545,3
1546,500
1547,103
1548,159
1549,1
1550,684
1551,35
1552,94
1553,190
1554,192
1555,164
1556,64
1557,208
1558,273
1559,539
1560,229
1561,120
1562,761
1563,7
1564,9
1565,206
1566,92
1567,140
1568,21
1569,221
1570,23
1571,317
1572,358
1573,91
1574,222
1575,25
1576,281
1577,149
1578,2
1579,202
1580,396
1581,231
1582,28
1583,346
1584,82
1585,153
1586,41
1587,274
1588,694
1589,54
1590,1
1591,49
1592,2
1593,312
1594,206
1595,318
1596,25
1597,11
1598,430
1599,27
1600,128
1601,378
1602,51
1603,232
1604,26
1605,90
1606,210
1607,616
1608,263
1609,5
1610,361
1611,240
1612,482
1613,5
1614,332
1615,281
1616,248
1617,4
1618,23
1619,10
1620,75
1621,144
1622,47
1623,50
1624,31
1625,59
1626,248
1627,89
1628,12
1629,108
1630,10
1631,428
1632,33
1633,221
1634,284
1635,587
1636,281
1637,338
1638,2
1639,223
1640,464
1641,308
1642,391
1643,359
1644,135
1645,62
1646,57
1647,18
1648,203
1649,44
1650,294
1651,563
1652,28
1653,399
1654,19
1655,380
1656,267
1657,59
1658,293
1659,5
1660,7
1661,2
1662,95
1663,534
1664,112
1665,7
1666,6
1667,390
1668,157
1669,195
1670,168
1671,499
1672,287
1673,44
1674,118
1675,312
1676,479
1677,170
1678,211
1679,49
1680,3
1681,388
1682,83
1683,460
1684,220
1685,108
1686,2
1687,3
1688,144
1689,101
1690,292
1691,212
1692,246
1693,52
1694,316
1695,133
1696,346
1697,147
1698,23
1699,550
1700,133
1701,45
1702,272
1703,205
1704,54
1705,147
1706,95
1707,10
1708,177
1709,64
1710,40
1711,186
1712,6
1713,68
1714,1
1715,71
1716,37
1717,98
1718,2
1719,201
1720,468
1721,63
1722,126
1723,304
1724,30
1725,109
1726,189
1727,63
1728,562
1729,30
1730,33
1731,15
1732,37
1733,281
1734,333
1735,366
1736,248
1737,185
1738,307
1739,274
1740,39
1741,680
1742,372
1743,184
1744,93
1745,28
1746,462
1747,75
1748,5
1749,10
1750,678
1751,427
1752,5
1753,285
1754,10
1755,478
1756,245
1757,204
1758,139
1759,154
1760,256
1761,124
1762,96
1763,78
1764,401
1765,437
1766,822
1767,112
1768,116
1769,95
1770,78
1771,41
1772,95
1773,64
1774,141
1775,88
1776,219
1777,404
1778,275
1779,257
1780,404
1781,408
1782,31
1783,251
1784,50
1785,308
1786,5
1787,7
1788,20
1789,296
1790,4
1791,361
1792,73
1793,64
1794,2
1795,3
1796,257
1797,332
1798,4
1799,115
1800,183
1801,260
1802,9
1803,15
1804,121
1805,150
1806,487
1807,190
1808,12
1809,27
1810,313
1811,45
1812,515
1813,60
1814,5
1815,8
1816,189
1817,299
1818,305
1819,13
1820,380
1821,267
1822,7
1823,197
1824,560
1825,5
1826,425
1827,8
1828,276
1829,241
1830,332
1831,209
1832,338
1833,343
1834,183
1835,95
1836,240
1837,109
1838,33
1839,10
1840,13
1841,75
1842,91
1843,790
1844,1
1845,481
1846,102
1847,95
1848,94
1849,119
1850,207
1851,273
1852,37
1853,485
1854,243
1855,202
1856,367
1857,160
1858,128
1859,192
1860,23
1861,280
1862,213
1863,318
1864,61
1865,148
1866,15
1867,186
1868,57
1869,236
1870,31
1871,210
1872,232
1873,474
1874,207
1875,4
1876,53
1877,89
1878,170
1879,154
1880,20
1881,473
1882,198
1883,51
1884,6
1885,374
1886,46
1887,10
1888,520
1889,93
1890,292
1891,282
1892,1
1893,333
1894,106
1895,122
1896,33
1897,715
1898,4
1899,244
1900,39
1901,30
1902,147
1903,162
1904,301
1905,12
1906,94
1907,9
1908,55
1909,151
1910,270
1911,89
1912,168
1913,260
1914,7
1915,8
1916,7
1917,292
1918,208
1919,90
1920,659
1921,103
1922,32
1923,331
1924,312
1925,248
1926,100
1927,84
1928,26
1929,264
1930,79
1931,188
1932,397
1933,442
1934,182
1935,31
1936,132
1937,142
1938,270
1939,143
1940,93
1941,185
1942,38
1943,593
1944,174
1945,129
1946,8
1947,4
1948,187
1949,35
1950,58
1951,63
1952,75
1953,245
1954,884
1955,76
1956,3
1957,57
1958,20
1959,8
1960,330
1961,204
1962,302
1963,76
1964,57
1965,41
1966,91
1967,617
1968,205
1969,450
1970,326
1971,529
1972,115
1973,375
1974,142
1975,146
1976,13
1977,5
1978,315
1979,467
1980,70
1981,673
1982,411
1983,247
1984,5
1985,6
1986,209
